countyfp,year,month,countyns,namelsad,statefp,ELWT_CSR
153,2008,7,1494354,Floyd County,51,-3.163564
153,2008,8,1494354,Floyd County,51,-5.8923879
153,2008,9,1494354,Floyd County,51,-1.8226861
153,2008,10,1494354,Floyd County,51,-7.4715247
153,2008,11,1494354,Floyd County,51,-3.1566365
153,2008,12,1494354,Floyd County,51,0.1034198
153,2009,1,1494354,Floyd County,51,-2.3311899
153,2009,2,1494354,Floyd County,51,-1.411622
153,2009,3,1494354,Floyd County,51,7.9416718
153,2009,4,1494354,Floyd County,51,7.9693885
153,2009,5,1494354,Floyd County,51,-1.0695412
153,2009,6,1494354,Floyd County,51,7.0530972
153,2009,7,1494354,Floyd County,51,4.0571742
153,2009,8,1494354,Floyd County,51,-1.9787999
153,2009,9,1494354,Floyd County,51,-4.3089638
153,2009,10,1494354,Floyd County,51,6.6323304
153,2009,11,1494354,Floyd County,51,1.9832367
153,2009,12,1494354,Floyd County,51,-4.0426002
153,2010,1,1494354,Floyd County,51,-13.166343
153,2010,2,1494354,Floyd County,51,8.1705151
153,2010,3,1494354,Floyd County,51,-6.692627
153,2010,4,1494354,Floyd County,51,6.6712861
153,2010,5,1494354,Floyd County,51,4.1241703
153,2010,6,1494354,Floyd County,51,8.4453726
153,2010,7,1494354,Floyd County,51,6.2545934
153,2010,8,1494354,Floyd County,51,3.8244753
153,2010,9,1494354,Floyd County,51,-5.3029318
153,2010,10,1494354,Floyd County,51,7.9446712
153,2010,11,1494354,Floyd County,51,10.127987
153,2010,12,1494354,Floyd County,51,-0.099515729
153,2011,1,1494354,Floyd County,51,3.8626513
153,2011,2,1494354,Floyd County,51,5.0358295
153,2011,3,1494354,Floyd County,51,-4.5135865
153,2011,4,1494354,Floyd County,51,-2.6395626
153,2011,5,1494354,Floyd County,51,3.1647129
153,2011,6,1494354,Floyd County,51,-2.4616218
153,2011,7,1494354,Floyd County,51,2.7092457
153,2011,8,1494354,Floyd County,51,-5.3511987
153,2011,9,1494354,Floyd County,51,11.199582
153,2011,10,1494354,Floyd County,51,-5.628036
153,2012,1,1494354,Floyd County,51,-5.6167431
153,2012,2,1494354,Floyd County,51,-5.6092725
153,2012,3,1494354,Floyd County,51,-9.929595
153,2012,4,1494354,Floyd County,51,5.3949656
153,2012,5,1494354,Floyd County,51,3.8729899
153,2012,6,1494354,Floyd County,51,-2.9338934
153,2012,7,1494354,Floyd County,51,-1.5388772
153,2012,8,1494354,Floyd County,51,3.349462
153,2012,9,1494354,Floyd County,51,2.765969
153,2012,10,1494354,Floyd County,51,1.9320275
153,2013,1,1494354,Floyd County,51,11.426201
153,2013,2,1494354,Floyd County,51,-5.2674952
153,2013,3,1494354,Floyd County,51,7.0399685
153,2013,4,1494354,Floyd County,51,-1.1980723
153,2013,5,1494354,Floyd County,51,8.0224838
153,2013,6,1494354,Floyd County,51,3.2601085
153,2013,7,1494354,Floyd County,51,7.6160011
153,2013,8,1494354,Floyd County,51,6.5658746
153,2013,9,1494354,Floyd County,51,0.38074407
153,2014,1,1494354,Floyd County,51,3.1085682
153,2014,2,1494354,Floyd County,51,2.1345537
153,2014,3,1494354,Floyd County,51,-1.5371644
153,2014,4,1494354,Floyd County,51,3.9760725
153,2014,5,1494354,Floyd County,51,-0.88284808
153,2014,6,1494354,Floyd County,51,11.127502
153,2014,7,1494354,Floyd County,51,-11.090704
153,2014,8,1494354,Floyd County,51,-2.0231009
153,2014,9,1494354,Floyd County,51,2.4229164
153,2015,1,1494354,Floyd County,51,-2.6825719
153,2015,2,1494354,Floyd County,51,-3.761956
153,2015,3,1494354,Floyd County,51,-6.2414446
153,2015,4,1494354,Floyd County,51,1.6710169
153,2015,5,1494354,Floyd County,51,5.1857224
153,2015,6,1494354,Floyd County,51,3.5591257
153,2015,7,1494354,Floyd County,51,3.4701483
153,2015,8,1494354,Floyd County,51,-2.9733124
153,2015,9,1494354,Floyd County,51,7.5448837
153,2016,1,1494354,Floyd County,51,3.1896381
153,2016,2,1494354,Floyd County,51,-4.8977938
153,2016,3,1494354,Floyd County,51,-1.1559844
153,2016,4,1494354,Floyd County,51,-0.74471271
153,2016,5,1494354,Floyd County,51,1.254566
153,2016,6,1494354,Floyd County,51,-5.6000938
153,2016,7,1494354,Floyd County,51,-6.9473257
153,2016,8,1494354,Floyd County,51,0.58377349
153,2016,9,1494354,Floyd County,51,7.5881257
153,2017,1,1494354,Floyd County,51,-5.4315414
